nwid,filename
NWD617055,7778704057_R03C01.gtc.txt
NWD908765,7778691125_R04C01.gtc.txt
NWD145138,8391288008_R02C01.gtc.txt
NWD556641,7778691002_R08C01.gtc.txt
NWD184608,8490981003_R03C01.gtc.txt
NWD536049,8478359171_R08C01.gtc.txt
NWD437945,7822710003_R02C01.gtc.txt
NWD929255,8478359209_R06C01.gtc.txt
NWD429967,7731172012_R06C01.gtc.txt
NWD508646,7802989078_R06C01.gtc.txt
NWD350048,8478359159_R03C01.gtc.txt
NWD878604,7778704160_R01C01.gtc.txt
NWD805378,8391288016_R06C01.gtc.txt
NWD405130,8391288090_R01C01.gtc.txt
NWD390007,8478359167_R01C01.gtc.txt
NWD455520,8391288122_R02C01.gtc.txt
NWD914515,7778704029_R03C01.gtc.txt
NWD945876,7778704029_R02C01.gtc.txt
NWD599824,7778704007_R03C01.gtc.txt
NWD822727,7778704151_R02C01.gtc.txt
NWD996853,7802989026_R05C01.gtc.txt
NWD171719,8490981047_R02C01.gtc.txt
NWD677842,7731172003_R06C01.gtc.txt
NWD554427,8391288156_R08C01.gtc.txt
NWD993534,8391270012_R03C01.gtc.txt
NWD145766,8391270012_R03C01.gtc.txt
NWD898964,7778712034_R05C01.gtc.txt
NWD108824,7778704081_R01C01.gtc.txt
NWD879822,7822710005_R06C01.gtc.txt
NWD154967,8494893065_R04C01.gtc.txt
NWD232807,8490981076_R07C01.gtc.txt
NWD592986,8391261095_R07C01.gtc.txt
NWD874677,7802989049_R03C01.gtc.txt
NWD156203,7731172094_R05C01.gtc.txt
NWD896695,7815181177_R04C01.gtc.txt
NWD897226,8490981111_R01C01.gtc.txt
NWD371797,8478359159_R02C01.gtc.txt
NWD676838,7778712010_R03C01.gtc.txt
NWD772530,8478359108_R08C01.gtc.txt
NWD934674,8391261167_R07C01.gtc.txt
NWD882797,8391296003_R08C01.gtc.txt
NWD282095,8391261022_R07C01.gtc.txt
NWD936886,8490981081_R05C01.gtc.txt
NWD764288,7778704140_R08C01.gtc.txt
NWD179811,8490981009_R08C01.gtc.txt
NWD942821,7802997201_R02C01.gtc.txt
NWD393182,8478359139_R04C01.gtc.txt
NWD845581,8478359150_R08C01.gtc.txt
NWD571612,7778691021_R02C01.gtc.txt
NWD560673,8391296125_R02C01.gtc.txt
NWD561786,7778712040_R04C01.gtc.txt
NWD817118,8490981010_R01C01.gtc.txt
NWD188956,7822752006_R02C01.gtc.txt
NWD797211,8391261106_R04C01.gtc.txt
NWD506212,8478359185_R07C01.gtc.txt
NWD558738,8391288162_R04C01.gtc.txt
NWD839191,8495044082_R02C01.gtc.txt
NWD670282,7778704072_R07C01.gtc.txt
NWD184970,8391270049_R04C01.gtc.txt
NWD606488,8391270137_R01C01.gtc.txt
NWD322166,7778691078_R01C01.gtc.txt
NWD935314,8391288017_R08C01.gtc.txt
NWD128252,8391309001_R04C01.gtc.txt
NWD569911,7802989066_R04C01.gtc.txt
NWD734242,8391296018_R06C01.gtc.txt
NWD940432,8490981041_R08C01.gtc.txt
NWD809358,8478359210_R04C01.gtc.txt
NWD457947,8490981126_R02C01.gtc.txt
NWD318046,7731172095_R04C01.gtc.txt
NWD102383,7731172094_R01C01.gtc.txt
NWD575158,8478359113_R07C01.gtc.txt
NWD633029,7802997083_R03C01.gtc.txt
NWD347258,8391253080_R06C01.gtc.txt
NWD696617,7731172072_R08C01.gtc.txt
NWD408723,7778712095_R05C01.gtc.txt
NWD828967,8391296045_R06C01.gtc.txt
NWD268210,8478359102_R04C01.gtc.txt
NWD973484,7731172082_R06C01.gtc.txt
NWD578185,8478359022_R06C01.gtc.txt
NWD573756,7731172095_R07C01.gtc.txt
NWD898685,7778691039_R06C01.gtc.txt
