NWD741415 SRR9250210
NWD409869 SRR9252308
NWD421801 SRR9252534
NWD728372 SRR9254367
NWD562177 SRR9254602
NWD703673 SRR9255280
NWD240421 SRR9249015
NWD100665 SRR8042455
NWD100702 SRR8042456
NWD101000 SRR8042460
NWD101457 SRR8042463
NWD101718 SRR8042466
NWD101821 SRR8042469
NWD102174 SRR8042475
NWD102335 SRR8042477
NWD102453 SRR8042480
NWD103425 SRR8042490
NWD103478 SRR8042492
NWD103581 SRR8042497
NWD103970 SRR8042503
NWD104724 SRR8042514
NWD106129 SRR8042528
NWD106409 SRR8042530
NWD107265 SRR8042545
NWD108403 SRR8042558
NWD109463 SRR8042571
NWD109527 SRR8042572
NWD110157 SRR8042585
NWD110782 SRR8042591
NWD111168 SRR8042598
NWD112486 SRR8042610
NWD113513 SRR8042623
NWD114413 SRR8042631
NWD114460 SRR8042632
NWD114552 SRR8042634
NWD115486 SRR8042642
NWD115832 SRR8042646
NWD116301 SRR8042654
NWD116988 SRR8042662
NWD118063 SRR8042672
NWD118302 SRR8042675
NWD118325 SRR8042676
NWD118399 SRR8042679
NWD119305 SRR8042695
NWD120241 SRR8042704
NWD121573 SRR8042719
NWD121603 SRR8042722
NWD121922 SRR8042724
NWD122130 SRR8042727
NWD122625 SRR8042733
NWD122767 SRR8042734
NWD122872 SRR8042736
NWD123400 SRR8042741
NWD123427 SRR8042743
NWD123538 SRR8042744
NWD123771 SRR8042746
NWD123844 SRR8042747
NWD123971 SRR8042749
NWD125155 SRR8042761
NWD126144 SRR8042771
NWD126979 SRR8042783
NWD127051 SRR8042785
NWD127439 SRR8042791
NWD128056 SRR8042797
NWD128411 SRR8042804
NWD128728 SRR8042806
NWD128815 SRR8042809
NWD129310 SRR8042814
NWD129785 SRR8042818
NWD130842 SRR8042827
NWD132017 SRR8042834
NWD132131 SRR8042837
NWD132639 SRR8042842
NWD132689 SRR8042843
NWD133433 SRR8042854
NWD134061 SRR8042863
NWD134094 SRR8042864
NWD135028 SRR8042875
NWD135148 SRR8042877
NWD135311 SRR8042880
NWD136054 SRR8042888
NWD136202 SRR8042892
NWD136295 SRR8042894
NWD137320 SRR8042906
NWD137337 SRR8042908
NWD137559 SRR8042909
NWD138056 SRR8042915
NWD479902 SRR8020959
NWD479916 SRR8020960
NWD480097 SRR8020961
NWD480102 SRR8020962
NWD480859 SRR8020971
NWD480923 SRR8020972
NWD480979 SRR8020973
NWD481340 SRR8020977
NWD481636 SRR8020983
NWD484000 SRR8021003
NWD484045 SRR8021004
NWD484158 SRR8021006
NWD485230 SRR8021016
NWD485663 SRR8021020
NWD488242 SRR8021040
NWD488518 SRR8021044
NWD489549 SRR8021053
NWD489588 SRR8021054
NWD489628 SRR8021055
NWD490153 SRR8021060
NWD490594 SRR8021065
NWD492219 SRR8021073
NWD493369 SRR8021089
NWD494194 SRR8021098
NWD494529 SRR8021104
NWD494861 SRR8021111
NWD496361 SRR8021126
NWD497219 SRR8021141
NWD497299 SRR8021142
NWD497351 SRR8021144
NWD497412 SRR8021146
NWD497542 SRR8021148
NWD498011 SRR8021152
NWD498364 SRR8021154
NWD498487 SRR8021157
NWD498507 SRR8021158
NWD500921 SRR8021182
NWD501694 SRR8021190
NWD502065 SRR8021195
NWD502183 SRR8021196
NWD502445 SRR8021200
NWD503140 SRR8021207
NWD503216 SRR8021208
NWD503355 SRR8021210
NWD504171 SRR8021221
NWD504308 SRR8021223
NWD504316 SRR8021224
NWD504810 SRR8021232
NWD505813 SRR8021245
NWD505954 SRR8021246
NWD506198 SRR8021251
NWD506828 SRR8021254
NWD506844 SRR8021256
NWD507741 SRR8021270
NWD508320 SRR8021274
NWD508646 SRR8021279
NWD510250 SRR8021294
NWD510448 SRR8021297
NWD510858 SRR8021303
NWD510863 SRR8021304
NWD510960 SRR8021305
NWD511122 SRR8021307
NWD511371 SRR8021314
NWD511763 SRR8021320
NWD511899 SRR8021322
NWD512200 SRR8021323
NWD513018 SRR8021329
NWD513629 SRR8021338
NWD514553 SRR8021344
NWD514749 SRR8021347
NWD515132 SRR8021351
NWD515638 SRR8021358
NWD516268 SRR8021366
NWD516900 SRR8021378
NWD517595 SRR8021387
NWD518310 SRR8021403
NWD518837 SRR8021409
NWD519296 SRR8021415
NWD519915 SRR8021422
NWD520641 SRR8021430
NWD520650 SRR8021431
NWD520872 SRR8021435
NWD521197 SRR8021438
NWD522067 SRR8021446
NWD522945 SRR8021451
NWD523285 SRR8021453
NWD524943 SRR8021470
NWD525444 SRR8021474
NWD525520 SRR8021476
NWD525900 SRR8021478
NWD525928 SRR8021479
NWD526473 SRR8021484
NWD526835 SRR8021490
NWD527654 SRR8021494
NWD528071 SRR8021498
NWD529114 SRR8021507
NWD529410 SRR8021512
NWD529566 SRR8021515
NWD529621 SRR8021516
NWD529689 SRR8021517
NWD529924 SRR8021518
NWD529949 SRR8021519
NWD530080 SRR8021521
NWD530132 SRR8021522
NWD530893 SRR8021531
NWD530960 SRR8021532
NWD531074 SRR8021533
NWD532069 SRR8021544
NWD533136 SRR8021557
NWD534454 SRR8021569
NWD534602 SRR8021570
NWD534604 SRR8021571
NWD535598 SRR8021578
NWD535639 SRR8021579
NWD535863 SRR8021581
NWD537971 SRR8021603
NWD538214 SRR8021606
NWD538390 SRR8021609
NWD539290 SRR8021616
NWD539734 SRR8021620
NWD540125 SRR8021625
NWD541472 SRR8021643
NWD541859 SRR8021648
NWD542036 SRR8021650
NWD542103 SRR8021651
NWD543416 SRR8021662
NWD543427 SRR8021663
NWD543559 SRR8021669
NWD543642 SRR8021670
NWD543787 SRR8021674
NWD543873 SRR8021676
NWD544861 SRR8021690
NWD545518 SRR8021698
NWD545778 SRR8021701
NWD546168 SRR8021704
NWD546170 SRR8021705
