NWD831812 SRR6776185
NWD561898 SRR6775618
NWD682826 SRR6775862
NWD819382 SRR6776160
NWD201911 SRR6774815
NWD202559 SRR6774818
NWD433834 SRR6775310
NWD683481 SRR6775867
NWD401289 SRR6775247
NWD311611 SRR6775054
NWD505615 SRR6775479
NWD192692 SRR6774797
NWD543363 SRR6775572
NWD313363 SRR6775062
NWD820513 SRR6776165
NWD427845 SRR6775289
NWD321156 SRR6775084
NWD263289 SRR6774960
NWD914035 SRR6776360
NWD468808 SRR6775395
NWD490478 SRR6775440
NWD888324 SRR6776302
NWD297028 SRR6775023
NWD778590 SRR6776065
NWD937704 SRR6776406
NWD870639 SRR6776268
NWD241032 SRR6774902
NWD945511 SRR6776428
NWD630207 SRR6775759
NWD381031 SRR6775205
NWD106415 SRR6774607
NWD446840 SRR6775340
NWD940411 SRR6776417
NWD752555 SRR6776016
NWD683352 SRR6775865
NWD769246 SRR6776045
NWD293276 SRR6775017
NWD888992 SRR6776304
NWD999648 SRR6776548
NWD284231 SRR6775000
NWD460290 SRR6775372
NWD390141 SRR6775221
NWD111050 SRR6774618
NWD932520 SRR6776392
NWD145710 SRR6774698
NWD921573 SRR6776373
NWD263218 SRR6774959
NWD142250 SRR6774686
NWD962174 SRR6776460
NWD199709 SRR6774808
NWD419394 SRR6775277
NWD783646 SRR6776081
NWD461367 SRR6775375
NWD155499 SRR6774707
NWD746802 SRR6776004
NWD837371 SRR6776197
NWD621096 SRR6775738
NWD525977 SRR6775530
NWD853592 SRR6776228
NWD768944 SRR6776044
NWD453199 SRR6775354
NWD246403 SRR6774913
NWD575726 SRR6775642
NWD938244 SRR6776407
NWD929502 SRR6776383
NWD948160 SRR6776430
NWD194636 SRR6774801
NWD100047 SRR6774588
NWD909843 SRR6776353
NWD493040 SRR6775451
NWD508724 SRR6775486
NWD188423 SRR6774789
NWD905969 SRR6776344
NWD597584 SRR6775682
NWD177868 SRR6774759
NWD216700 SRR6774850
NWD363179 SRR6775167
NWD499382 SRR6775461
NWD495627 SRR6775455
NWD521195 SRR6775521
NWD405708 SRR6775255
NWD788779 SRR6776093
NWD938764 SRR6776410
NWD204249 SRR6774823
NWD224676 SRR6774865
NWD781722 SRR6776075
NWD433887 SRR6775311
NWD671617 SRR6775837
NWD261834 SRR6774953
NWD912860 SRR6776357
NWD983546 SRR6776508
NWD227926 SRR6774874
NWD255314 SRR6774935
NWD376178 SRR6775193
NWD583534 SRR6775654
NWD717323 SRR6775933
NWD735581 SRR6775968
NWD819151 SRR6776157
NWD554264 SRR6775603
NWD505804 SRR6775480
NWD964495 SRR6776466
NWD953197 SRR6776444
NWD645107 SRR6775791
NWD714150 SRR6775926
NWD518308 SRR6775511
NWD535803 SRR6775556
NWD119004 SRR6774637
NWD843196 SRR6776213
NWD202341 SRR6774817
NWD720320 SRR6775940
NWD277777 SRR6774986
NWD181989 SRR6774767
NWD780126 SRR6776070
NWD823306 SRR6776167
NWD806640 SRR6776133
NWD754754 SRR6776021
NWD975828 SRR6776494
NWD103241 SRR6774599
NWD384602 SRR6775211
NWD218653 SRR6774852
NWD454212 SRR6775358
NWD545260 SRR6775577
NWD609547 SRR6775718
NWD670040 SRR6775833
NWD776146 SRR6776058
NWD860561 SRR6776245
NWD954862 SRR6776449
NWD141739 SRR6774685
NWD202701 SRR6774820
NWD462938 SRR6775379
NWD473862 SRR6775405
NWD624437 SRR6775749
NWD706690 SRR6775909
NWD631471 SRR6775763
NWD701651 SRR6775898
NWD994253 SRR6776537
NWD754595 SRR6776020
NWD279894 SRR6774992
NWD965920 SRR6776469
NWD681095 SRR6775860
NWD878075 SRR6776285
NWD288741 SRR6775011
NWD131737 SRR6774662
NWD244248 SRR6774909
NWD520174 SRR6775518
NWD443856 SRR6775333
NWD795464 SRR6776112
NWD124217 SRR6774648
NWD175512 SRR6774751
NWD436419 SRR6775319
NWD462020 SRR6775377
NWD408353 SRR6775262
NWD465961 SRR6775389
NWD641748 SRR6775781
NWD442251 SRR6775328
NWD994500 SRR6776538
NWD895345 SRR6776315
NWD112144 SRR6774621
NWD285370 SRR6775006
NWD482818 SRR6775431
NWD378190 SRR6775198
NWD510162 SRR6775491
NWD772712 SRR6776050
NWD785275 SRR6776086
NWD802770 SRR6776121
NWD219333 SRR6774854
NWD282806 SRR6774996
NWD470074 SRR6775398
NWD504880 SRR6775475
NWD725985 SRR6775947
NWD812620 SRR6776143
NWD322197 SRR6775087
NWD345740 SRR6775132
NWD819191 SRR6776158
NWD219321 SRR6774853
NWD859855 SRR6776242
NWD394153 SRR6775232
NWD209758 SRR6774835
NWD235067 SRR6774886
NWD336689 SRR6775112
NWD347161 SRR6775134
NWD378532 SRR6775200
NWD241250 SRR6774903
NWD677605 SRR6775854
NWD786226 SRR6776088
NWD301962 SRR6775039
NWD613652 SRR6775724
NWD692223 SRR6775881
NWD819277 SRR6776159
NWD933584 SRR6776396
NWD967794 SRR6776478
NWD848859 SRR6776219
NWD186643 SRR6774783
NWD351547 SRR6775143
NWD400628 SRR6775246
NWD626140 SRR6775751
NWD877667 SRR6776284
NWD280966 SRR6774994
NWD978415 SRR6776499
NWD107001 SRR8004001
NWD107734 SRR8004006
NWD107381 SRR8004002
NWD114246 SRR8004056
NWD115726 SRR8004068
NWD121335 SRR8004112
NWD116804 SRR8004077
NWD120771 SRR8004105
NWD120699 SRR8004104
NWD126137 SRR8004169
NWD121678 SRR8004116
NWD128199 SRR8004185
NWD129192 SRR8004192
NWD126914 SRR8004175
NWD129727 SRR8004195
NWD133476 SRR8004221
NWD157751 SRR8004414
NWD134939 SRR8004236
NWD162560 SRR8004447
NWD136191 SRR8004241
NWD158550 SRR8004420
NWD142415 SRR8004282
NWD143128 SRR8004289
NWD153250 SRR8004376
NWD155144 SRR8004392
NWD161020 SRR8004440
NWD154155 SRR8004383
NWD159900 SRR8004430
NWD164675 SRR8004467
NWD165608 SRR8004473
NWD175401 SRR8004561
NWD166299 SRR8004479
NWD162876 SRR8004453
NWD164406 SRR8004465
NWD172457 SRR8004538
NWD177483 SRR8004577
NWD177004 SRR8004571
NWD164946 SRR6774724
NWD583032 SRR6775651
NWD195752 SRR6774804
NWD583191 SRR6775652
NWD785062 SRR6776085
NWD162998 SRR6774718
NWD223484 SRR6774863
NWD670563 SRR6775835
NWD195333 SRR6774802
NWD793903 SRR6776109
NWD866642 SRR6776258
NWD610579 SRR6775720
NWD942451 SRR6776422
NWD980507 SRR6776503
NWD104013 SRR8003979
NWD110696 SRR8004025
NWD150346 SRR8004351
NWD160995 SRR8004439
NWD263121 SRR8005256
NWD264907 SRR8005269
NWD269088 SRR8005299
NWD279615 SRR8005382
NWD200148 SRR8004759
NWD286326 SRR8005431
NWD285045 SRR8005419
NWD299195 SRR8005535
NWD316606 SRR8005681
NWD325050 SRR8005745
NWD329669 SRR8005785
NWD334026 SRR8005812
NWD352948 SRR8005959
NWD365445 SRR8006054
NWD373412 SRR8006117
NWD377952 SRR8006152
NWD382440 SRR8006193
NWD403865 SRR8006353
NWD398771 SRR8006311
NWD405590 SRR8006367
NWD406137 SRR8006369
NWD429808 SRR8006561
NWD450420 SRR8006728
NWD419365 SRR8006482
NWD466847 SRR8006864
NWD470440 SRR8006890
NWD488426 SRR8007049
NWD486984 SRR8007035
NWD511638 SRR8007225
NWD500916 SRR8007135
NWD529041 SRR8007356
NWD215426 SRR8004872
NWD543405 SRR8007463
NWD218386 SRR8004891
NWD572667 SRR8007699
NWD558709 SRR8007583
NWD559935 SRR8007591
NWD573381 SRR8007701
NWD585762 SRR8007813
NWD226718 SRR8004975
NWD227267 SRR8004979
NWD102081 SRR8003959
NWD107767 SRR8004007
NWD115764 SRR8004070
NWD117026 SRR8004078
NWD125655 SRR8004162
NWD148078 SRR8004328
NWD140908 SRR8004271
NWD151788 SRR8004365
NWD148616 SRR8004331
NWD156766 SRR8004405
NWD157107 SRR8004408
NWD159174 SRR8004424
NWD159405 SRR8004425
NWD163264 SRR8004457
NWD163400 SRR8004460
NWD169145 SRR8004509
NWD163905 SRR8004461
NWD171522 SRR8004531
NWD178466 SRR8004583
NWD180878 SRR8004604
NWD185133 SRR8004634
NWD189052 SRR8004665
NWD189116 SRR8004666
NWD200851 SRR8004762
NWD198723 SRR8004746
NWD210782 SRR8004835
NWD217017 SRR8004882
NWD219242 SRR8004899
NWD219397 SRR8004900
NWD220884 SRR8004917
NWD227503 SRR8004980
NWD223374 SRR8004937
NWD226154 SRR8004968
NWD238891 SRR8005073
NWD239137 SRR8005076
NWD240140 SRR8005085
NWD247114 SRR8005140
NWD255276 SRR8005190
NWD255829 SRR8005198
NWD257287 SRR8005214
NWD258834 SRR8005225
NWD265611 SRR8005272
NWD279825 SRR8005383
NWD281013 SRR8005393
NWD268240 SRR8005293
NWD103077 SRR8003969
NWD104517 SRR8003985
NWD137159 SRR8004247
NWD100991 SRR8003950
NWD100109 SRR8003941
NWD121344 SRR8004113
NWD168089 SRR8004497
NWD246347 SRR8005133
NWD124697 SRR8004145
NWD173927 SRR8004546
NWD223922 SRR8004940
NWD182166 SRR8004614
NWD201094 SRR8004764
NWD239569 SRR8005079
NWD194137 SRR8004710
NWD218007 SRR8004889
NWD212623 SRR8004853
NWD252599 SRR8005176
NWD256812 SRR8005210
NWD317892 SRR8005688
NWD256405 SRR8005206
NWD415951 SRR8006447
NWD258806 SRR8005224
NWD254237 SRR8005185
NWD273637 SRR8005334
NWD418708 SRR8006473
NWD403745 SRR8006351
NWD419090 SRR8006478
NWD444065 SRR8006670
NWD459413 SRR8006804
NWD515036 SRR8007245
NWD476456 SRR8006931
NWD492675 SRR8007084
NWD504822 SRR8007164
NWD514743 SRR8007243
NWD532942 SRR8007381
NWD561706 SRR8007604
NWD619447 SRR8008103
NWD635782 SRR8008242
NWD578314 SRR8007751
NWD634210 SRR8008228
NWD620733 SRR8008109
NWD617984 SRR8008090
NWD682752 SRR8008614
NWD629216 SRR8008190
NWD597242 SRR8007916
NWD613462 SRR8008057
NWD607507 SRR8008012
NWD593466 SRR8007878
NWD605468 SRR8007989
NWD614576 SRR8008067
NWD616575 SRR8008082
NWD626649 SRR8008163
NWD629978 SRR8008196
NWD642762 SRR8008289
NWD638646 SRR8008261
NWD649905 SRR8008341
NWD656782 SRR8008388
NWD657514 SRR8008396
NWD679853 SRR8008589
NWD722063 SRR8008940
NWD737790 SRR8009064
NWD746711 SRR8009134
NWD749301 SRR8009162
NWD755887 SRR8009218
NWD758769 SRR8009236
NWD775083 SRR8009367
NWD773772 SRR8009357
NWD784236 SRR8009440
NWD782440 SRR8009425
NWD815535 SRR8009709
NWD796349 SRR8009536
NWD817962 SRR8009734
NWD787202 SRR8009468
NWD845356 SRR8009970
NWD836294 SRR8009875
NWD847097 SRR8009981
NWD819782 SRR8009748
NWD875349 SRR8010211
NWD911805 SRR8010462
NWD913790 SRR8010480
NWD925835 SRR8010588
NWD928862 SRR8010613
NWD985735 SRR8011094
NWD989072 SRR8011116
NWD939820 SRR8010717
NWD991255 SRR8011137
NWD927741 SRR8010602
NWD989682 SRR8011122
NWD993758 SRR8011153
NWD686487 SRR8008645
NWD688546 SRR8008670
NWD703014 SRR8008772
NWD719434 SRR8008919
NWD729008 SRR8008997
NWD746644 SRR8009131
NWD746708 SRR8009133
NWD789414 SRR8009482
NWD803250 SRR8009602
NWD812219 SRR8009674
NWD823712 SRR8009771
NWD863840 SRR8010113
NWD817153 SRR8009729
NWD879358 SRR8010236
NWD882355 SRR8010267
NWD290804 SRR8005464
NWD291673 SRR8005473
NWD298214 SRR8005528
NWD301550 SRR8005551
NWD308667 SRR8005619
NWD318467 SRR8005694
NWD322154 SRR8005721
NWD323638 SRR8005733
NWD324190 SRR8005740
NWD326186 SRR8005758
NWD329288 SRR8005782
NWD336041 SRR8005821
NWD338693 SRR8005843
NWD339541 SRR8005852
NWD343153 SRR8005879
NWD345397 SRR8005897
NWD344628 SRR8005887
NWD350115 SRR8005933
NWD350839 SRR8005941
NWD352694 SRR8005958
NWD355070 SRR8005979
NWD361735 SRR8006023
NWD898733 SRR8010367
NWD900015 SRR8010379
NWD972427 SRR8010974
NWD938090 SRR8010699
NWD995434 SRR8011169
NWD990073 SRR8011128
NWD998867 SRR8011194
NWD996859 SRR8011177
NWD461532 SRR8006827
NWD363253 SRR8006038
NWD381606 SRR8006185
NWD381897 SRR8006189
NWD383877 SRR8006206
NWD384754 SRR8006214
NWD391726 SRR8006254
NWD397225 SRR8006301
NWD399096 SRR8006315
NWD406838 SRR8006374
NWD408802 SRR8006388
NWD414789 SRR8006436
NWD419765 SRR8006485
NWD423214 SRR8006511
NWD423955 SRR8006516
NWD435189 SRR8006605
NWD436797 SRR8006614
NWD446734 SRR8006695
NWD444179 SRR8006671
NWD452038 SRR8006739
NWD452609 SRR8006744
NWD458502 SRR8006798
NWD460817 SRR8006818
NWD461591 SRR8006828
NWD464600 SRR8006842
NWD471794 SRR8006898
NWD463939 SRR8006840
NWD469885 SRR8006886
NWD474068 SRR8006909
NWD474414 SRR8006913
NWD475925 SRR8006924
NWD479834 SRR8006969
NWD488937 SRR8007055
NWD480651 SRR8006979
NWD492072 SRR8007079
NWD493750 SRR8007091
NWD514611 SRR8007240
NWD514726 SRR8007242
NWD517770 SRR8007267
NWD516074 SRR8007254
NWD531855 SRR8007376
NWD522623 SRR8007301
NWD545121 SRR8007479
NWD522749 SRR8007302
NWD538522 SRR8007422
NWD548235 SRR8007499
NWD549060 SRR8007503
NWD548243 SRR8007500
NWD554368 SRR8007553
NWD554128 SRR8007551
NWD556731 SRR8007568
NWD556032 SRR8007562
NWD559871 SRR8007590
NWD573531 SRR8007703
NWD576797 SRR8007736
NWD577467 SRR8007739
NWD583336 SRR8007785
NWD593894 SRR8007885
NWD577993 SRR8007747
NWD608442 SRR8008019
NWD611233 SRR8008039
NWD613996 SRR8008063
NWD621845 SRR8008121
NWD629823 SRR8008193
NWD626460 SRR8008162
NWD634987 SRR8008236
NWD641738 SRR8008286
NWD643482 SRR8008294
NWD643886 SRR8008299
NWD644773 SRR8008307
